수율,형태,생산중량,제품길이,제품두께,품종,완제형태,Billet 규격,Hole수
0.835074,환봉,2321,3000,26,3771,ROD,1600,1
0.782841,환봉,2340,3400,25,3772,ROD,1600,1
0.705764,환봉,3387,3000,33,3772,ROD,800,1
0.782595,환봉,3100,4000,32,3771,ROD,1600,1
0.866502,환봉,2315,3400,20,3772,ROD,1600,1
0.780446,환봉,3092,3500,36,3772,ROD,1600,1
0.732927,환봉,1539,2500,18,3604,ROD,1600,1
0.787717,환봉,3082,3500,36,3772,ROD,1600,1
0.858374,환봉,2346,5000,28,3773,ROD,1600,1
0.765528,환봉,2370,3000,27.8,3604,ROD,1600,1
0.780925,환봉,3092,4000,32,3772,ROD,1600,1
0.73358,환봉,3092,3000,35,3773,ROD,1600,1
0.824308,환봉,1716,0,17,2700,Coil,900,1
0.870234,환봉,819,0,9,2700,Coil,900,3
0.892036,환봉,1117,0,7,2800,Coil,1200,3
0.806716,환봉,3100,4000,34,3771,ROD,1600,1
0.559054,육각,3492,2990,28,3607,ROD,1200,1
0.859221,환봉,2346,5000,28,3773,ROD,1600,1
0.616622,육각,3337.258,3000,20,3604,ROD,1200,1
0.794146,환봉,1055,0,6,3604,Coil,1200,3
0.835871,환봉,2346,6000,18,3772,ROD,1600,1
0.517712,환봉,3548,3000,29.2,2600,ROD,900,1
0.866921,환봉,2370,4000,14.7,3604,ROD,1600,1
0.82649,환봉,3087,4000,40,3772,ROD,1600,1
0.76563,환봉,796,0,7,2700,Coil,900,3
0.539458,육각,3448.65,2500,21,3604,ROD,1200,1
0.817492,환봉,3087,4000,40,3772,ROD,1600,1
0.887521,환봉,2268.912,5500,22,3772,ROD,1600,1
0.698417,환봉,3334,4000,43,3772,ROD,900,1
0.77448,환봉,1546,4000,40,3772,ROD,1600,1
0.796798,환봉,3092,3000,32,3772,ROD,1600,1
0.613916,환봉,1546,5500,38,3772,ROD,1600,1
0.885298,환봉,2346,3400,17,3772,ROD,1600,1
0.790244,환봉,1108.294,2500,11,3604,ROD,1200,1
0.842998,환봉,2352,4000,28,3771,ROD,1600,1
0.585391,환봉,1684,0,12.7,1100,Coil,900,1
0.834483,환봉,2316,3000,12.45,3772,ROD,1200,1
0.827417,환봉,2343,3825,24,3773,ROD,1600,1
0.794146,환봉,1150,0,6,3604,Coil,1200,3
0.639024,환봉,1562,3000,45,3604,ROD,1600,1
0.84532,환봉,2340,3400,20,3772,ROD,1600,1
0.822602,환봉,2340,3000,20.6,3607,ROD,1200,1
0.857718,환봉,2315.325,3400,17,3772,ROD,1600,1
0.718332,환봉,1546,5000,30,3773,ROD,1600,1
0.818658,환봉,1560,6000,22,3772,ROD,1600,1
0.842253,환봉,2300,4000,27,3772,ROD,1600,1
0.868022,환봉,819,0,9,2700,Coil,900,3
0.818011,환봉,2343,3825,24,3772,ROD,1600,1
0.792642,환봉,3092,4000,30,3773,ROD,1600,1
0.851445,환봉,2370,3000,16,3604,ROD,1600,1
0.669268,환봉,564,2500,6,3604,ROD,1200,3
0.55664,환봉,1715,2500,44,3604,ROD,1200,1
0.795838,환봉,2352,4000,28,3771,ROD,1600,1
0.748871,환봉,1129,3000,6,3604,ROD,1200,3
0.804918,환봉,3124,3500,30,3772,ROD,1600,1
0.806092,환봉,2000,3600,40,3772,ROD,800,1
0.76601,환봉,3046,3000,41,3772,ROD,1600,1
0.690701,환봉,3124,2500,30,3604,ROD,1600,1
0.881605,환봉,420,0,9,2700,Coil,900,3
0.780081,환봉,2370,3000,24,3604,ROD,1600,1
0.820351,환봉,2296,4000,14.7,3604,ROD,1600,1
0.732482,환봉,3087.1,3500,32,3772,ROD,1600,1
0.765637,환봉,2275,4000,9.5,3772,ROD,1200,1
0.641548,환봉,3138,3500,32,3772,ROD,1600,1
0.892241,환봉,2346,6000,18,3772,ROD,1600,1
0.744048,환봉,3092,3400,34,3772,ROD,1600,1
0.888966,환봉,2346,3900,20,3772,ROD,1600,1
0.774172,환봉,819,0,7,2700,Coil,900,3
0.817492,환봉,3087,4000,40,3772,ROD,1600,1
0.920668,환봉,2336,0,11,3604,Coil,1200,1
0.826808,환봉,2346,3800,26.98,3772,ROD,1600,1
0.888219,환봉,882,0,9,2700,Coil,900,3
0.855657,환봉,2315.325,3000,19,3772,ROD,1600,1
0.787869,환봉,2346,4000,26,3772,ROD,1600,1
0.673757,환봉,2319,3000,80,3774,ROD,1600,1
0.736829,환봉,2460,3000,30,3604,ROD,1600,1
0.825211,환봉,2346,3000,15.3,3773,ROD,1600,1
0.879348,환봉,840,0,9,2700,Coil,900,3
0.876642,환봉,2321,4000,18,3771,ROD,1600,1
0.830177,환봉,2346,3500,26,3772,ROD,1600,1
0.793651,환봉,3092,3000,45,3772,ROD,1600,1
0.871745,환봉,782,5000,24,3773,ROD,1600,1
0.824621,환봉,2352,4000,28,3771,ROD,1600,1
0.863534,환봉,2299.854,3500,22,3772,ROD,1600,1
0.877231,환봉,833,0,7,2720,Coil,900,3
0.84559,환봉,2365,4000,28,3771,ROD,1600,1
0.637461,환봉,908,0,7,2720,Coil,900,3
0.835942,환봉,819,0,9,2700,Coil,900,3
0.812644,환봉,2331,3000,24,3772,ROD,1600,1
0.861274,환봉,2346,4000,28,3773,ROD,1600,1
0.876165,환봉,2346,3900,20,3772,ROD,1600,1
0.711098,환봉,789,2500,21.8,3604,ROD,1600,1
0.883369,환봉,771.775,3000,13.5,3772,ROD,1600,1
0.817964,환봉,2340,2500,16,3604,ROD,1200,1
0.562602,육각,1746,2500,30,3604,ROD,1200,1
0.76563,환봉,788,0,7,2700,Coil,900,3
0.847078,환봉,1564,3500,27,3772,ROD,1600,1
